,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-2,bandwidth_mbit_-3,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-2,quality_level_chosen_-3,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-2,t_download_s_-3,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.866702017291066,,,,497348.0,621716,0.0,0,0,0,0.0,0,0.0,0,,,,0,497348.0,497348.0,497348.0,781289.0,1469486.0,621716,621716,621716,976660,1836948,60.535664382470124,60.535664382470124,60.535664382470124,74.89050139442232,87.97843717131474,0.0,10.000489,1.735,,,,10.0,0.0,1572433008.326,1572433006.581,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment1_476000_av.ts,60.535664382470124
1,2.8475698776494918,,,,1652444.0,2065556,0.0,0,0,1,0.0,0,0.0,3,,,,-3,410742.0,410742.0,410742.0,620099.0,1118224.0,513428,513428,513428,775124,1397780,58.61324023999998,58.61324023999998,58.61324023999998,73.99570759999995,88.24601403999996,1.870999813079834,10.0,5.803,,,,20.0,10.0,1572433014.273,1572433008.452,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment2_2296000_av.ts,92.37487996
2,-0.008,,,,1368489.0,-1,9.95900011062622,0,0,2,0.0,0,0.0,3,,,,-3,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,5.821000099182129,10.0,0.001,,,,30.0,20.0,1572433014.3279998,1572433014.314,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_2296000_av.ts,91.26641511999998
3,-0.008,2.8475698776494918,,,961808.0,-1,0.7950000762939453,0,0,2,1652444.0,3,92.37487996,2,3.0,,,1,961808.0,528656.0,1368489.0,2010998.0,2010998.0,1202260,660820,1710612,2513748,2513748,87.05295776000004,74.38227235999999,91.26641511999998,100.0,100.0,0.0,10.0,0.001,5.803,,,30.0,20.0,1572433023.493,1572433023.478,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_1496000_av.ts,87.05295776000004
4,-0.008,2.8475698776494918,,,352988.0,-1,0.0,0,0,2,1368489.0,3,91.26641511999998,0,3.0,,,3,961808.0,528656.0,1368489.0,2010998.0,2010998.0,1202260,660820,1710612,2513748,2513748,87.05295776000004,74.38227235999999,91.26641511999998,100.0,100.0,4.306999921798706,10.0,0.001,5.803,,,30.0,20.0,1572433028.695,1572433028.58,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_476000_av.ts,60.17388303999995
5,-0.008,2.8475698776494918,,,352988.0,-1,0.0,0,0,2,961808.0,2,87.05295776000004,0,3.0,,,2,528656.0,352988.0,961808.0,1368489.0,2010998.0,660820,441236,1202260,1710612,2513748,74.38227235999999,60.17388303999995,87.05295776000004,91.26641511999998,100.0,9.532999992370605,10.0,0.001,5.803,,,30.0,20.0,1572433038.135,1572433038.113,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_476000_av.ts,60.17388303999995
6,-0.008,2.8475698776494918,,,352988.0,-1,0.0,0,0,2,352988.0,0,60.17388303999995,0,3.0,,,0,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,11.696000099182129,10.0,0.001,5.803,,,30.0,20.0,1572433049.827,1572433049.809,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_476000_av.ts,60.17388303999995
7,-0.008,2.8475698776494918,,,352988.0,-1,0.0,0,0,2,352988.0,0,60.17388303999995,0,3.0,,,0,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,15.70300006866455,10.0,0.001,5.803,,,30.0,20.0,1572433065.533,1572433065.512,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_476000_av.ts,60.17388303999995
8,-0.008,0.5249684711481261,2.8475698776494918,,343352.0,-1,9.98200011253357,0,0,3,352988.0,0,60.17388303999995,0,0.0,3.0,,0,343352.0,343352.0,343352.0,526233.0,1009904.0,429204,429204,429204,657812,1262420,59.04901504000002,59.04901504000002,59.04901504000002,72.74412804,84.92586107999993,6.746000051498413,10.000311,0.001,6.724,5.803,,40.0,30.0,1572433072.286,1572433072.276,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_476000_av.ts,59.04901504000002
9,-0.008,0.5249684711481261,2.8475698776494918,,343352.0,-1,1.3010001182556152,0,0,3,352988.0,0,60.17388303999995,0,0.0,3.0,,0,343352.0,343352.0,343352.0,526233.0,1009904.0,429204,429204,429204,657812,1262420,59.04901504000002,59.04901504000002,59.04901504000002,72.74412804,84.92586107999993,0.0,10.000311,0.001,6.724,5.803,,40.0,30.0,1572433081.04,1572433080.957,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_476000_av.ts,59.04901504000002
