,accuracy_score,weighted_f1_score,macro_f1_score,micro_f1_score,mae_score,avg_mbit_approx,std_mbit_approx,avg_mbit_expert,std_mbit_expert,avg_rebuffering_approx,std_rebuffering_approx,avg_rebuffering_expert,std_rebuffering_expert,avg_mbit_switch_approx,std_mbit_switch_approx,avg_mbit_switch_expert,std_mbit_switch_expert,avg_clustering_approx,avg_clustering_score_approx,avg_clustering_score_expert,clustering_score_kl_divergence,Provider,Base Classifier,Cloning Method,Training Samples,Leaf Complexity,Training Time
0,0.26200378071833647,0.34912191201282083,0.24143274226592162,0.26200378071833647,1.2283553875236295,1.9396896771736432,0.99511069572313,1.6063244761671582,0.9316425566036843,1.3701385619885404,10.01779733377892,1.3222284376432119,10.013483762637065,0.14121049702562583,0.11936440034237769,0.09406291120002268,0.058189332155108506,0.5226686695835677,0.01992885868677717,0.03659873942691649,1.2186269136788523,ZDF,Simple Rate Algorithm,BC Full,3844,0,79.97166585922241
1,0.8582230623818525,0.8039144835604551,0.28537836971016695,0.8582230623818525,0.17693761814744802,0.9156034092771361,0.17897781416320585,1.6063244761671582,0.9316425566036843,1.8502390870310266,10.11807174631954,1.3222284376432119,10.013483762637065,0.01897060117198382,0.0067214392310717954,0.09406291120002268,0.058189332155108506,0.8233816461704017,0.044899495188135914,0.038848956391288415,0.474270695906141,ZDF,No Feature Engineering,BC Full,3844,5,36.6798312664032
2,0.869187145557656,0.8466395420664751,0.454930565432048,0.869187145557656,0.1546313799621928,1.595454334945129,0.923267729723963,1.6063244761671582,0.9316425566036843,1.3650276863941342,10.013766322799288,1.3222284376432119,10.013483762637065,0.04814685910058358,0.033231683598362205,0.09406291120002268,0.058189332155108506,0.7931146338571193,0.035591236969805234,0.03389586956128879,0.4340547619138897,ZDF,No Feature Engineering,BC Full,3844,16,36.4828155040741
3,0.869187145557656,0.8469773872793839,0.45993140530099685,0.869187145557656,0.1546313799621928,1.5847292598693488,0.9122974603163881,1.6063244761671582,0.9316425566036843,1.3650276863941342,10.013766322799288,1.3222284376432119,10.013483762637065,0.048570033599708747,0.03407611534227644,0.09406291120002268,0.058189332155108506,0.8255018332120118,0.04026173616554526,0.03844678035524798,0.48749221641941587,ZDF,No Feature Engineering,BC Full,3844,20,36.68843054771423
4,0.8502835538752362,0.84034485166128,0.4783581505224411,0.8502835538752362,0.17353497164461248,1.576772141266321,0.9226166317749717,1.6063244761671582,0.9316425566036843,1.3303317961524588,10.01526451292625,1.3222284376432119,10.013483762637065,0.06292821623932393,0.05047662635757929,0.09406291120002268,0.058189332155108506,0.8262275525056512,0.038617459094368214,0.036465765548232124,0.1977536057089208,ZDF,No Feature Engineering,BC Full,3844,28,36.44156813621521
5,0.8510396975425331,0.8421190074982091,0.45558505113933895,0.8510396975425331,0.17542533081285444,1.5492775575258229,0.9284715315807971,1.6063244761671582,0.9316425566036843,1.3151454601132742,10.01564048408637,1.3222284376432119,10.013483762637065,0.06508295252895244,0.05109748416653286,0.09406291120002268,0.058189332155108506,0.8431486609268457,0.03891261619624726,0.03480757488972854,0.37986612941120174,ZDF,No Feature Engineering,BC Full,3844,40,36.492303133010864
6,0.8457466918714556,0.8382427388843429,0.45302359540156056,0.8457466918714556,0.1826086956521739,1.5269242280847022,0.9532373410744063,1.6063244761671582,0.9316425566036843,1.3042361266681854,10.01575894890675,1.3222284376432119,10.013483762637065,0.07228197538943362,0.0840552016906495,0.09406291120002268,0.058189332155108506,0.8677082952659011,0.04189325017474141,0.03920410137715037,0.3760020299129397,ZDF,No Feature Engineering,BC Full,3844,52,36.45835280418396
7,0.8476370510396976,0.8402404461181164,0.45635449547296164,0.8476370510396976,0.18034026465028355,1.5597649614610576,0.9592914115163992,1.6063244761671582,0.9316425566036843,1.3042361266681854,10.01575894890675,1.3222284376432119,10.013483762637065,0.06985106758787486,0.05168181579777413,0.09406291120002268,0.058189332155108506,0.8299043650471674,0.03815375091491122,0.035948638853392695,0.5192220376419745,ZDF,No Feature Engineering,BC Full,3844,64,36.48529005050659
8,0.8438563327032136,0.8372963980570345,0.4468036322320021,0.8438563327032136,0.18714555765595464,1.5835109319471474,0.9572075137986269,1.6063244761671582,0.9316425566036843,1.3535259679083653,10.022398922896828,1.3222284376432119,10.013483762637065,0.07741054256384483,0.06024688652555707,0.09406291120002268,0.058189332155108506,0.7901334661343586,0.03600894230359178,0.03350773843486985,0.5233185551120729,ZDF,No Feature Engineering,BC Full,3844,76,36.498981952667236
9,0.8408317580340264,0.8369811994900065,0.44990894556698047,0.8408317580340264,0.19092627599243855,1.5642654070610713,0.9721053406941068,1.6063244761671582,0.9316425566036843,1.2890821613191021,10.016624638201874,1.3222284376432119,10.013483762637065,0.07688302903922863,0.05650150489960686,0.09406291120002268,0.058189332155108506,0.8559961107112841,0.03665679150727712,0.03516236221471612,0.380461960805125,ZDF,No Feature Engineering,BC Full,3844,88,36.47600507736206
10,0.8419659735349716,0.8370806338279947,0.4495792806041282,0.8419659735349716,0.1890359168241966,1.5773514898873464,0.9322863513685774,1.6063244761671582,0.9316425566036843,1.2890821613191021,10.016624638201874,1.3222284376432119,10.013483762637065,0.09315428924971045,0.07041015547190244,0.09406291120002268,0.058189332155108506,0.9106791770320795,0.04117769789247289,0.039658108016754554,0.17489658630218174,ZDF,No Feature Engineering,BC Full,3844,100,36.544124126434326
11,0.8544423440453687,0.7873760234628067,0.18430173292558613,0.8544423440453687,0.18449905482041587,0.3393282297189668,0.0790588800035294,1.6063244761671582,0.9316425566036843,1.2820556916956578,10.01728709494465,1.3222284376432119,10.013483762637065,0.0,0.0,0.09406291120002268,0.058189332155108506,0.5253614288087703,0.018573915138861374,0.035293971516858445,0.7470986227044161,ZDF,Simple Manual Feature Engineering,BC Full,3844,5,100.61020112037659
12,0.8427221172022684,0.811353630960663,0.25466679534411424,0.8427221172022684,0.18790170132325143,1.3775495901887702,0.7736171628691221,1.6063244761671582,0.9316425566036843,1.4625047243993263,10.016148545720224,1.3222284376432119,10.013483762637065,0.03498003022114975,0.025206430940746743,0.09406291120002268,0.058189332155108506,0.8023070017607067,0.03499358998307163,0.03902483679705687,0.23375986962371287,ZDF,Simple Manual Feature Engineering,BC Full,3844,8,101.00020742416382
13,0.8423440453686201,0.8163561118889276,0.29207729726644266,0.8423440453686201,0.1890359168241966,1.5170540903191116,0.8963602462501928,1.6063244761671582,0.9316425566036843,1.4625047243993263,10.016148545720224,1.3222284376432119,10.013483762637065,0.04118621295981878,0.031438499056277616,0.09406291120002268,0.058189332155108506,0.6381304594153262,0.026737652094539342,0.032580026368433594,0.253433782054282,ZDF,Simple Manual Feature Engineering,BC Full,3844,12,101.03851747512817
14,0.8517958412098299,0.8245432815146208,0.3110312783970182,0.8517958412098299,0.1784499054820416,1.0232954618415087,0.7079531264949812,1.6063244761671582,0.9316425566036843,1.2820556916956578,10.01728709494465,1.3222284376432119,10.013483762637065,0.03161427735851451,0.030168557756452576,0.09406291120002268,0.058189332155108506,0.7581556098497957,0.0352562015152798,0.03555629806656714,0.38467496483078323,ZDF,Simple Manual Feature Engineering,BC Full,3844,16,100.95272064208984
15,0.8446124763705104,0.8277606260676322,0.4072266035229301,0.8446124763705104,0.18525519848771266,1.4489868892715099,0.9283302116187425,1.6063244761671582,0.9316425566036843,1.2820556916956578,10.01728709494465,1.3222284376432119,10.013483762637065,0.04844092753188856,0.03602555055316056,0.09406291120002268,0.058189332155108506,0.6964851758150256,0.031788432356750426,0.03394115336482757,0.2815451861996335,ZDF,Simple Manual Feature Engineering,BC Full,3844,20,101.22860598564148
