,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9,t_download_s_-10,quality_level_chosen_-10,bandwidth_mbit_-10,bitrate_level_encoded
10,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-10.m4s,1572061032.101,1572061033.0830002,9,0.794,96339,0.9706700251889168,0,0,6.083333333333336,54.62,60.7,0,125000.0,54.9069385416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
11,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-11.m4s,1572061038.157,1572061038.8639998,10,0.5670000000000001,83028,1.171470899470899,0,0,6.083333333333336,60.71,66.79,0,125000.0,52.76913597222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
12,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-12.m4s,1572061044.197,1572061045.174,11,0.787,95514,0.9709174078780176,0,0,6.083333333333329,66.79,72.87,0,125000.0,53.81516729166664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
13,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-13.m4s,1572061050.466,1572061051.135,12,0.442,79662,1.4418461538461538,0,0,6.083333333333329,72.88,78.96,0,125000.0,52.85724229166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
14,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-14.m4s,1572061056.269,1572061056.924,13,0.455,76528,1.3455472527472527,0,0,6.083333333333344,78.96,85.04,0,125000.0,53.839327986111115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
15,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-15.m4s,1572061062.27,1572061062.9129999,14,0.624,76036,0.9748205128205129,0,0,6.083333333333329,85.04,91.12,0,125000.0,52.46104798611113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
16,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-16.m4s,1572061068.248,1572061068.8860002,15,0.422,75874,1.4383696682464455,0,0,6.083333333333329,91.12,97.2,0,125000.0,44.808353819444456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
17,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1309305514/chop/segment-17.m4s,1572061074.245,1572061074.409,16,0.14400000000000002,100771,5.598388888888889,0,0,6.083333333333344,97.21,103.29,0,125000.0,43.94868229166666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0
18,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935292/chop/segment-13.m4s,1572061074.663,1572061075.0089998,12,0.292,175739,4.8147671232876705,0,0,6.083333333333329,72.88,78.96,1,272000.0,74.98363604166664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272000.0
19,https://144skyfiregce-vimeo.akamaized.net/exp=1572064899~acl=%2F298166943%2F%2A~hmac=940f341d203f6a598ef375bb9edd7074fd8dc9babd99d89c39089a4991ceca47/298166943/sep/video/1136935292/chop/segment-14.m4s,1572061075.012,1572061075.2870002,13,0.241,165970,5.5093775933609965,0,0,6.083333333333344,78.96,85.04,1,272000.0,75.31859006944448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272000.0
