,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-2,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-2,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-2,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.1840192400192397,,,454035.0,567572,0.0,0,0,0,0.0,0,0.0,0,,,0,454035.0,454035.0,454035.0,709101.0,1293827.0,567572,567572,567572,886420,1617364,33.69727482071714,33.69727482071714,33.69727482071714,51.064956215139425,74.30413768924305,0.0,10.000489,2.079,,,10.0,0.0,1572433254.7489998,1572433252.659,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment1_0_av.ts",33.69727482071714
1,1.6252096118299446,,,439619.0,549524,0.0,0,0,1,0.0,0,0.0,0,,,0,439619.0,439619.0,439619.0,670633.0,1238544.0,549524,549524,549524,838292,1548180,34.93559887999999,34.93559887999999,34.93559887999999,52.001419319999954,75.03274375999997,2.123000144958496,10.0,2.705,,,20.0,10.0,1572433257.502,1572433254.782,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment2_0_av.ts",34.93559887999999
2,2.8653577371048256,,,516624.0,645780,9.843000173568726,0,0,2,0.0,0,0.0,1,,,-1,352988.0,352988.0,352988.0,516624.0,923305.0,441236,441236,441236,645780,1154132,32.80903796000001,32.80903796000001,32.80903796000001,49.15801207999999,69.74023499999996,2.7200000286102295,10.0,1.803,,,30.0,20.0,1572433259.471,1572433257.659,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment3_1_av.ts",49.15801207999999
3,-0.008,,,1045999.0,-1,17.920000076293945,0,0,3,0.0,0,0.0,2,,,-2,396291.0,396291.0,396291.0,586391.0,1045999.0,495380,495380,495380,733012,1307540,48.69552384,48.69552384,48.69552384,64.44865439999998,80.62438724000002,0.0,10.000311,0.001,,,40.0,30.0,1572433259.596,1572433259.582,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_3_av.ts",80.62438724000002
4,-0.008,2.8653577371048256,1.6252096118299446,586391.0,-1,8.188000202178955,0,0,3,516624.0,1,49.15801207999999,1,1.0,0.0,0,396291.0,396291.0,586391.0,1045999.0,1587422.0,495380,495380,733012,1307540,1984340,48.69552384,48.69552384,64.44865439999998,80.62438724000002,86.21780331999999,0.0,10.000311,0.001,1.803,2.705,40.0,30.0,1572433270.4569998,1572433269.314,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_1_av.ts",64.44865439999998
5,-0.008,2.8653577371048256,1.6252096118299446,396291.0,-1,0.0,0,0,3,1045999.0,2,80.62438724000002,0,1.0,0.0,2,586391.0,396291.0,1045999.0,1587422.0,2241943.0,733012,495380,1307540,1984340,2802516,64.44865439999998,48.69552384,80.62438724000002,86.21780331999999,100.0,12.703999996185303,10.000311,0.001,1.803,2.705,40.0,30.0,1572433290.2410002,1572433290.206,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_0_av.ts",48.69552384
6,-0.008,2.8653577371048256,1.6252096118299446,586391.0,-1,0.0,0,0,3,586391.0,1,64.44865439999998,1,1.0,0.0,0,396291.0,396291.0,586391.0,1045999.0,1587422.0,495380,495380,733012,1307540,1984340,48.69552384,48.69552384,64.44865439999998,80.62438724000002,86.21780331999999,16.007999897003174,10.000311,0.001,1.803,2.705,40.0,30.0,1572433306.234,1572433306.214,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_2_av.ts",64.44865439999998
7,-0.008,2.8653577371048256,1.6252096118299446,586391.0,-1,0.0,0,0,3,396291.0,0,48.69552384,1,1.0,0.0,-1,396291.0,396291.0,396291.0,586391.0,1045999.0,495380,495380,495380,733012,1307540,48.69552384,48.69552384,48.69552384,64.44865439999998,80.62438724000002,9.493000030517578,10.000311,0.001,1.803,2.705,40.0,30.0,1572433315.731,1572433315.707,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_1_av.ts",64.44865439999998
8,-0.008,2.8653577371048256,1.6252096118299446,396291.0,-1,0.0,0,0,3,586391.0,1,64.44865439999998,0,1.0,0.0,1,396291.0,396291.0,586391.0,1045999.0,1587422.0,495380,495380,733012,1307540,1984340,48.69552384,48.69552384,64.44865439999998,80.62438724000002,86.21780331999999,9.708999872207642,10.000311,0.001,1.803,2.705,40.0,30.0,1572433325.5349998,1572433325.416,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_0_av.ts",48.69552384
9,-0.008,2.8653577371048256,1.6252096118299446,586391.0,-1,0.0,0,0,3,586391.0,1,64.44865439999998,1,1.0,0.0,0,396291.0,396291.0,586391.0,1045999.0,1587422.0,495380,495380,733012,1307540,1984340,48.69552384,48.69552384,64.44865439999998,80.62438724000002,86.21780331999999,11.628000020980835,10.000311,0.001,1.803,2.705,40.0,30.0,1572433337.1179998,1572433337.044,"https://zdfvodnone-vh.akamaihd.net/i/tivi/19/08/190827_folge7_sks/3/190827_folge7_sks_a,1a2_476k_p9,1a2_776k_p11,3a4_776k_p11,1a2_1496k_p13,1a2_2296k_p14,1a2_3296k_p15,v14.mp4.csmil/segment4_1_av.ts",64.44865439999998
