,timestamp_s,paused,played_until,buffered_until,videoWidth,videoHeight,decodedFrames,droppedFrames
0,1572052817.825055,False,0.0,0.0,640,360,0,0
1,1572052817.8324225,False,0.0,0.0,640,360,0,0
2,1572052817.966517,False,0.0,0.0,640,360,0,0
3,1572052818.0978737,False,0.0,0.0,640,360,0,0
4,1572052818.2867196,False,0.0,0.0,640,360,0,0
5,1572052818.430205,False,0.0,0.0,640,360,0,0
6,1572052818.566945,False,0.0,0.0,640,360,0,0
7,1572052818.700232,False,0.0,0.0,640,360,0,0
8,1572052818.8438208,False,0.0,0.0,640,360,0,0
9,1572052818.9881124,False,0.0,0.0,640,360,0,0
10,1572052819.137564,False,0.0,0.0,640,360,0,0
11,1572052819.2846122,False,0.0,0.0,640,360,0,0
12,1572052819.419387,False,0.0,0.0,640,360,0,0
13,1572052819.604302,False,0.0,0.0,640,360,0,0
14,1572052819.7422454,False,0.0,0.0,640,360,0,0
15,1572052819.8890584,False,0.0,0.0,640,360,0,0
16,1572052820.0173182,False,0.0,0.0,640,360,0,0
17,1572052820.1527257,False,0.0,0.0,640,360,0,0
18,1572052820.2922952,False,0.0,0.0,640,360,0,0
19,1572052820.4330127,False,0.0,0.0,640,360,0,0
20,1572052820.5711346,False,0.0,0.0,640,360,0,0
21,1572052820.715223,False,0.0,0.0,640,360,0,0
22,1572052820.8441567,False,0.0,0.0,640,360,0,0
23,1572052820.9822385,False,0.0,0.0,640,360,0,0
24,1572052821.1240244,False,0.0,0.0,640,360,0,0
25,1572052821.2627807,False,0.0,0.0,640,360,0,0
26,1572052821.402312,False,0.0,0.0,640,360,0,0
27,1572052821.5373755,False,0.0,0.0,640,360,0,0
28,1572052821.6919746,False,0.0,0.0,640,360,0,0
29,1572052821.820179,False,0.0,0.0,640,360,0,0
30,1572052822.0063121,False,0.0,0.0,640,360,0,0
31,1572052822.144467,False,0.0,0.0,640,360,0,0
32,1572052822.2871778,False,0.0,0.0,640,360,0,0
33,1572052822.4154122,False,0.0,0.0,640,360,0,0
34,1572052822.5828414,False,0.0,0.0,640,360,0,0
35,1572052822.7264192,False,0.0,0.0,640,360,0,0
36,1572052822.8611887,False,0.0,0.0,640,360,0,0
37,1572052823.0113933,False,0.0,0.0,640,360,0,0
38,1572052823.1438909,False,0.0,0.0,640,360,0,0
39,1572052823.2855618,False,0.019199,6.005999,1280,720,4,0
40,1572052823.4229553,False,0.109025,6.005999,1280,720,5,0
41,1572052823.5619423,False,0.248102,6.005999,1280,720,7,1
42,1572052823.6996412,False,0.390193,6.005999,1280,720,10,2
43,1572052823.8367596,False,0.527923,6.005999,1280,720,14,6
44,1572052824.0012558,False,0.689777,6.005999,1280,720,18,7
45,1572052824.1392508,False,0.826825,6.005999,1280,720,22,8
46,1572052824.2810993,False,0.973814,6.005999,1280,720,25,8
47,1572052824.4231343,False,1.109219,6.005999,1280,720,29,9
48,1572052824.5618203,False,1.25097,6.005999,1280,720,33,9
49,1572052824.7028303,False,1.389609,6.005999,1280,720,37,10
50,1572052824.8408246,False,1.532606,6.005999,1280,720,40,11
51,1572052825.006905,False,1.694459,6.005999,1280,720,43,11
