,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,bitrate_level_encoded
27,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment27_1_av.ts,1572159915.49,1572159915.928,26,0.425,2133988,40.16918588235294,0,0,10.2,263.08,273.28,3,1666638.0,100.0,2396245.641025641
28,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment28_1_av.ts,1572159925.49,1572159925.927,27,0.41,2055404,40.10544390243902,0,0,10.184333,273.28,283.46,3,1626375.0,100.0,2396245.641025641
29,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment29_1_av.ts,1572159935.49,1572159935.9320002,28,0.431,2338532,43.40662645011601,0,0,10.120333,283.47,293.59,3,1777138.0,100.0,2396245.641025641
30,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment30_1_av.ts,1572159945.49,1572159945.96,29,0.44,2386284,43.38698181818181,0,0,10.195,293.59,303.78,3,1844188.0,100.0,2396245.641025641
31,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment31_1_av.ts,1572159955.492,1572159956.2840002,30,0.6950000000000001,3775980,43.464517985611494,0,0,10.069666999999999,303.78,313.85,3,3004664.0,100.0,2396245.641025641
32,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment32_1_av.ts,1572159965.49,1572159966.1920002,31,0.672,3572564,42.530523809523814,0,0,10.184333,313.85,324.03,3,2873789.0,100.0,2396245.641025641
33,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment33_1_av.ts,1572159975.494,1572159975.9229999,32,0.417,2211820,42.432997601918466,0,0,10.120333,324.04,334.16,3,1762683.0,100.0,2396245.641025641
34,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment34_1_av.ts,1572159985.492,1572159986.048,33,0.541,2909300,43.02107208872457,0,0,10.075,334.16,344.24,3,2025884.0,100.0,2396245.641025641
35,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment35_1_av.ts,1572159995.4910002,1572159995.996,34,0.466,2509236,43.07701287553648,0,0,10.149666999999999,344.23,354.38,3,2051286.0,100.0,2396245.641025641
36,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment36_1_av.ts,1572160005.49,1572160006.242,35,0.716,3526316,39.400178770949715,0,0,10.12,354.38,364.5,3,2801868.0,100.0,2396245.641025641
37,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment37_1_av.ts,1572160015.49,1572160016.085,36,0.5820000000000001,2855156,39.246130584192436,0,0,10.080333,364.5,374.58,3,2256373.0,100.0,2396245.641025641
38,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment38_1_av.ts,1572160025.49,1572160025.996,37,0.4970000000000001,2430652,39.12518309859155,0,0,10.115,374.58,384.7,3,1936688.0,100.0,2396245.641025641
39,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment39_1_av.ts,1572160035.49,1572160035.606,38,0.1,530724,42.45792,0,0,1.9496669999999998,384.7,386.65,3,2325812.0,100.0,2396245.641025641
