,timestamp_finish,bitrate_level_encoded,bitrate_level,vmaf_level,buffer_level_at_timestamp_finish,rebuffer_level_at_timestamp_finish,body_size_byte,seg_len_s,t_download_s,quality_level_chosen,played_at_beginning,played_at_end,reward
0,1572315027.59,819599.9724137931,646720.0,51.48625553333333,7.385658999999999,,94342.0,2.64,0.9159999999999999,2.0,,5.6543410000000005,
1,1572315029.6920002,819599.9724137931,646720.0,51.48625553333333,7.385658999999999,-0.0,92566.0,2.52,1.584,2.0,,5.6543410000000005,
2,1572315030.236,819599.9724137931,730442.0,47.85448639999999,7.385658999999999,-0.0,92566.0,1.7599999999999998,0.42,2.0,,5.6543410000000005,
3,1572315031.475,819599.9724137931,827200.0,45.316098933333336,7.385658999999999,-0.0,92566.0,1.9600000000000009,1.3130000000000002,2.0,,5.6543410000000005,
4,1572315032.3409998,819599.9724137931,827200.0,45.316098933333336,7.385658999999999,-0.0,163568.0,2.92,0.865,2.0,,5.6543410000000005,
5,1572315034.377,819599.9724137931,1086890.0,40.88893973154365,8.702752,-0.0,74557.0,1.3199999999999985,0.96,2.0,,6.657247999999999,
6,1572315036.438,1246101.4413793103,1416768.0,56.364784799999974,10.332249,-0.0,378913.0,4.479999999999999,2.514,3.0,5.657074,8.948751,
7,1572315039.0470002,1246101.4413793103,1632842.0,55.946871543624106,14.843072999999997,-0.0,538370.0,6.920000000000002,2.481,3.0,8.256523,11.477927000000001,
8,1572315044.687,3238447.793103448,4253813.0,86.25635201342286,32.379113000000004,-0.0,1510103.0,4.68,1.279,5.0,15.122273999999999,17.621887,
9,1572315051.938,3238447.793103448,1998816.0,84.33591744966445,40.880540999999994,-0.0,1649767.0,6.52,1.386,5.0,22.146169,24.079459,
13,1572315096.447,3238447.793103448,2850080.0,86.43922409395974,27.988190000000003,-0.0,1487677.0,4.280000000000001,1.248,5.0,65.66207299999999,67.69181,
14,1572315105.01,3238447.793103448,2945834.0,88.44443113333334,20.253011,-0.0,4096.0,0.03999999999999915,0.195,5.0,74.696404,75.426989,
10,1572315054.093,6381417.324137931,7091360.0,100.0,42.143411,-0.0,2097152.0,3.9599999999999937,1.76,7.0,24.079459,26.776589,
11,1572315059.768,6381417.324137931,5433952.0,100.0,38.020759,-0.0,2097152.0,3.299999999999997,1.9669999999999999,7.0,29.387113,32.059241,
12,1572315060.7589998,6381417.324137931,6976053.0,100.0,39.14439899999999,-0.0,1401845.0,0.12000000000000455,1.264,7.0,31.322129999999998,33.015601000000004,
15,1572315109.549,1246101.4413793103,1402730.0,57.94124319999998,2.4700459999999964,-0.0,162072.0,1.8799999999999955,3.075,3.0,0.0,76.09095400000001,
16,1572315116.153,531193.4068965517,574528.0,14.395658266666667,4.841183000000001,4.133954091552738,65536.0,2.799999999999997,0.551,1.0,81.594484,82.63981700000001,
17,1572315117.801,531193.4068965517,559989.0,16.944333691275165,7.332977999999997,-0.0,103686.0,3.4000000000000057,1.063,1.0,82.63981700000001,84.408022,
18,1572315120.365,531193.4068965517,508352.0,12.803501400000002,13.119939000000002,-0.0,191909.0,7.280000000000001,1.726,1.0,84.819122,86.881061,
19,1572315125.8860002,819599.9724137931,672789.0,43.17534213333335,7.5624990000000025,-0.0,581857.0,11.52000000000001,5.5440000000000005,2.0,86.517646,92.438501,
20,1572315135.3520002,819599.9724137931,953034.0,59.42676302013422,18.145885000000007,1.90350108010864,843019.0,16.11999999999999,7.182,2.0,94.14602099999999,101.855115,
21,1572315149.64,819599.9724137931,1090400.0,45.441562885906045,24.006969999999995,-0.0,1393150.0,28.799999999999997,11.922,2.0,103.587304,115.99403000000001,
22,1572315174.925,819599.9724137931,828704.0,41.838103355704696,39.00203899999997,1.278029847412114,1391284.0,29.159999999999997,12.527999999999999,2.0,128.69783700000002,141.47796100000002,
23,1572315208.3070002,819599.9724137931,710389.0,43.56034275167783,40.90128600000003,-0.0,1383077.0,28.200000000000017,11.633,2.0,162.712649,174.77871399999998,
24,1572315241.401,819599.9724137931,722421.0,40.778648791946296,41.785743,-0.0,1281823.0,27.19999999999999,10.755,2.0,196.785465,207.814257,
25,1572315272.663,819599.9724137931,750997.0,44.93464826666666,40.79626899999997,-0.0,1399164.0,29.799999999999983,11.765999999999998,2.0,227.05968199999998,239.204731,
26,1572315305.7,819599.9724137931,786090.0,52.72114286666665,37.715914,-0.0,1248185.0,26.480000000000018,10.556,2.0,260.932283,272.285086,
27,1572315337.7719998,819599.9724137931,914933.0,38.24100493333332,35.84196399999996,-0.0,1373957.0,30.0,11.624,2.0,292.305098,304.159036,
28,1572315356.2979999,1246101.4413793103,1382677.0,63.190648187919464,41.971608,-0.0,1748668.0,24.24000000000001,14.929,3.0,307.37207,322.828392,
29,1572315412.0029998,1246101.4413793103,1062826.0,67.35758020000002,21.39166799999998,13.733391923706051,1792049.0,21.24000000000001,27.563000000000002,3.0,350.427705,378.609332,
