,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,bitrate_level_encoded
0,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/1309466822/chop/segment-1.m4s,1572043650.576,1572043651.063,0,0.001,14913,119.304,0,0,6.006,0.0,6.01,0,313000.0,23.98694833333333,0.0,0.0,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,0.0,0.0,0.0,,,,313000.0
1,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429825/chop/segment-1.m4s,1572043651.127,1572043651.1339998,0,0.001,21823,174.58399999999997,0,0,6.006,0.0,6.01,1,503000.0,66.51828020833342,0.0,0.0,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,-1.0,5.945999870300293,0.4869999885559082,,,,503000.0
2,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429819/chop/segment-1.m4s,1572043651.197,1572043651.208,0,0.008,33108,33.108000000000004,0,0,6.006,0.0,6.01,2,1330000.0,83.75753875000014,313000.0,23.98694833333333,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,-2.0,5.875999937057495,0.0,0.001,1.0,174.58399999999997,1330000.0
3,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-1.m4s,1572043651.268,1572043651.2819998,0,0.006999999999999999,44878,51.289142857142856,0,0,6.006,0.0,6.01,3,2544000.0,90.71187958333331,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
4,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-1.m4s,1572043651.345,1572043651.3639998,0,0.012,62983,41.98866666666667,0,0,6.006,0.0,6.01,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
5,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-2.m4s,1572043651.674,1572043652.05,1,0.374,2039272,43.62079144385027,0,0,6.006,6.01,12.02,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
6,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-3.m4s,1572043652.053,1572043652.9,2,0.845,3761127,35.608302958579884,0,0,6.006,12.01,18.02,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
7,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-4.m4s,1572043652.909,1572043653.64,3,0.728,2780779,30.558010989010988,0,0,6.006,18.02,24.03,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
8,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-5.m4s,1572043653.7270002,1572043654.3279998,4,0.599,4007369,53.52078797996661,0,0,6.006,24.02,30.03,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
9,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-6.m4s,1572043654.335,1572043654.8720002,5,0.535,3427239,51.24843364485981,0,0,6.006,30.03,36.04,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
10,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-7.m4s,1572043657.678,1572043658.94,6,1.2590000000000001,4466565,28.381667990468625,0,0,6.006,36.04,42.05,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
11,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-8.m4s,1572043663.709,1572043665.851,7,2.14,4361233,16.303674766355137,0,0,6.006,42.04,48.05,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
12,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-9.m4s,1572043669.678,1572043670.515,8,0.835,3754276,35.969111377245504,0,0,6.006,48.05,54.06,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
13,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-10.m4s,1572043675.705,1572043677.207,9,1.5,4116862,21.95659733333333,0,0,6.006,54.05,60.06,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
14,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-11.m4s,1572043681.7329998,1572043684.304,10,2.567,4201011,13.09235995325282,0,0,6.006,60.06,66.07,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
15,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-12.m4s,1572043687.853,1572043691.2429998,11,3.388,4189652,9.892920897284533,0,0,6.006,66.07,72.08,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
16,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-13.m4s,1572043693.92,1572043693.9220002,12,0.001,3529854,28238.832,0,0,6.006,72.07,78.08,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
17,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-14.m4s,1572043699.687,1572043700.5410001,13,0.852,3804966,35.72738028169014,0,0,6.006,78.08,84.09,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
18,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-15.m4s,1572043705.716,1572043707.637,14,1.9180000000000001,4266963,17.797551616266944,0,0,6.006,84.08,90.09,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
19,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-16.m4s,1572043711.7670002,1572043713.794,15,2.025,4513026,17.82923851851852,0,0,6.006,90.09,96.1,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
