,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2
0,https://fastly.tubi.video/61a829ef-8352-4ee0-b78b-b51610333ec9/s6okrpwm/segment-0.ts,1572050521.754,1572050522.866,0,0.984,286941,2.3328536585365853,0,0,4.087411,0.0,4.09,2,624794.0,100.0,0.0,0.0,0,117688,84.01419076923074,230342.0,117688,84.01419076923074,230342.0,117688,84.01419076923074,230342.0,204920,91.46530102564104,401075.0,319224,100.0,624794.0,-2,0.0,0.0,,,,,,
1,https://fastly.tubi.video/61a829ef-8352-4ee0-b78b-b51610333ec9/2f0tp0yo/segment-1.ts,1572050522.995,1572050523.577,1,0.459,166179,2.896366013071895,0,0,3.9909440000000003,4.09,8.08,1,374592.0,94.82754714285706,0.0,0.0,0,114680,89.76578792207795,229880.0,114680,89.76578792207795,229880.0,114680,89.76578792207795,229880.0,186872,94.82754714285706,374592.0,277112,100.0,555481.0,-1,3.961000051498413,1.1119999885559082,,,,,,
2,https://fastly.tubi.video/61a829ef-8352-4ee0-b78b-b51610333ec9/2f0tp0yo/segment-2.ts,1572050523.86,1572050524.51,2,0.001,-1,-0.008,0,0,3.069778,8.08,11.15,1,424286.0,93.76396769230772,624794.0,100.0,2,96632,86.01723538461546,251827.0,162808,93.76396769230772,424286.0,247032,100.0,643778.0,247032,100.0,643778.0,247032,100.0,643778.0,1,7.08600004196167,0.0,0.459,1.0,2.896366013071895,,,
3,https://fastly.tubi.video/61a829ef-8352-4ee0-b78b-b51610333ec9/2f0tp0yo/segment-3.ts,1572050524.493,1572050524.52,3,0.001,-1,-0.008,0,0,3.9115559999999996,11.15,15.06,1,345282.0,94.91394807692305,374592.0,94.82754714285706,1,108664,91.1127348717948,222241.0,108664,91.1127348717948,222241.0,168824,94.91394807692305,345282.0,241016,100.0,492931.0,241016,100.0,492931.0,0,,,0.16,1.0,7.2604,0.459,1.0,2.896366013071895
