,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9
0,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/1pturr1l/segment-0.ts,1572069425.601,1572069428.622,0,3.009,958337,2.547921568627451,0,0,3.636966,0.0,3.64,2,2323219.0,100.0,0.0,0.0,0,301176,85.97250773195879,662477.0,301176,85.97250773195879,662477.0,301176,85.97250773195879,662477.0,568888,93.42657948453609,1251346.0,1056184,100.0,2323219.0,-2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/qk554g1x/segment-1.ts,1572069428.815,1572069428.872,1,0.001,-1,-0.008,0,0,2.496856,3.64,6.14,1,1466138.0,93.42657948453609,0.0,0.0,0,183864,85.97250773195879,589105.0,183864,85.97250773195879,589105.0,183864,85.97250773195879,589105.0,457592,93.42657948453609,1466138.0,833592,100.0,2670853.0,-1,3.446999921798706,3.0209999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-2.ts,1572069446.19,1572069446.2120001,2,0.001,-1,-0.008,0,0,4.062766000000001,6.13,10.19,0,675969.0,85.9086562886598,2323219.0,100.0,2,343288,85.9086562886598,675969.0,647096,92.4146439175258,1274197.0,1197560,100.0,2358117.0,1197560,100.0,2358117.0,1197560,100.0,2358117.0,2,2.1879999637603755,13.61600004196167,17.006,1.0,0.20912524991179585,,,,,,,,,,,,,,,,,,,,,,,,
3,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-3.ts,1572069459.053,1572069459.064,3,0.001,-1,-0.008,0,0,3.349011,10.2,13.55,0,755365.0,85.46698367346939,1466138.0,93.42657948453609,1,316216,85.46698367346939,755365.0,316216,85.46698367346939,755365.0,577912,92.1854876530612,1380495.0,1077240,100.0,2573273.0,1077240,100.0,2573273.0,1,4.032000112533569,10.657000064849854,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,,,,,,,,,,,,,,,,
4,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-4.ts,1572069469.733,1572069469.763,4,0.001,-1,-0.008,0,0,4.02241,13.55,17.57,0,711165.0,83.96339876288658,675969.0,85.9086562886598,0,304184,83.96339876288658,711165.0,304184,83.96339876288658,711165.0,304184,83.96339876288658,711165.0,574904,88.76365463917524,1344093.0,1266744,100.0,2519373.0,0,3.3339999771118176,6.621999931335449,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,,,,,,,,,,,,,
5,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-5.ts,1572069501.773,1572069501.793,5,0.001,-1,-0.008,0,0,2.787867,17.57,20.36,0,781358.0,87.75022826530615,755365.0,85.46698367346939,0,331256,87.75022826530615,781358.0,331256,87.75022826530615,781358.0,331256,87.75022826530615,781358.0,638072,93.40928877551023,1505068.0,1005048,100.0,2884062.0,0,3.9709999752044673,28.65699995994568,31.96,0.0,0.0721081351689612,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,,,,,,,,,,
6,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-6.ts,1572069513.057,1572069513.115,6,0.001,-1,-0.008,0,0,2.850711,20.36,23.21,0,541304.0,87.53037247422684,711165.0,83.96339876288658,0,192888,87.53037247422684,541304.0,192888,87.53037247422684,541304.0,192888,87.53037247422684,541304.0,484664,92.61488958762884,1360121.0,911800,100.0,2558800.0,0,2.7650001430511466,7.2880000877380375,11.239,0.0,0.22547272889047063,31.96,0.0,0.0721081351689612,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,,,,,,,
7,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-7.ts,1572069519.736,1572069519.753,7,0.001,-1,-0.008,0,0,4.068322,23.21,27.28,0,521256.0,87.08619469387756,781358.0,87.75022826530615,0,265080,87.08619469387756,521256.0,265080,87.08619469387756,521256.0,265080,87.08619469387756,521256.0,659128,92.28862163265309,1296117.0,1290808,100.0,2538261.0,0,2.8299997806549086,3.893999776840211,6.6000000000000005,0.0,0.2148084848484848,11.239,0.0,0.22547272889047063,31.96,0.0,0.0721081351689612,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,,,,
8,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-8.ts,1572069528.469,1572069528.486,8,0.001,-1,-0.008,0,0,3.254466,27.27,30.52,0,718156.0,85.80394886597935,541304.0,87.53037247422684,0,292152,85.80394886597935,718156.0,292152,85.80394886597935,718156.0,292152,85.80394886597935,718156.0,632056,92.22653814432987,1553695.0,1182520,100.0,2906824.0,0,4.053000040054322,5.886000299453734,8.698,0.0,0.22744446999310183,6.6000000000000005,0.0,0.2148084848484848,11.239,0.0,0.22547272889047063,31.96,0.0,0.0721081351689612,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,,,,
9,https://fastly.tubi.video/1d298c03-8517-4917-b650-52bad62e8bc2/7b8qnrah/segment-9.ts,1572069538.146,1572069538.2259998,9,0.001,-1,-0.008,0,0,3.253311,30.53,33.78,0,637046.0,86.34097288659792,521256.0,87.08619469387756,0,259064,86.34097288659792,637046.0,259064,86.34097288659792,637046.0,259064,86.34097288659792,637046.0,559864,92.54319721649485,1376724.0,1074232,100.0,2641572.0,0,3.224000205993651,5.607999973297119,9.643,0.0,0.22621507829513632,8.698,0.0,0.22744446999310183,6.6000000000000005,0.0,0.2148084848484848,11.239,0.0,0.22547272889047063,31.96,0.0,0.0721081351689612,10.642,0.0,0.22566359706822026,12.822000000000001,0.0,0.2005758851973171,17.006,1.0,0.20912524991179585,,,
