,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,bitrate_level_encoded
10,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/ye8rq9b4/segment-8.ts,1572041501.156,1572041501.196,8,0.022,123573,44.93563636363636,0,0,4.2010000000000005,32.79,36.99,0,269939.0,72.51132562500003,251855.0,79.01224666666666,0.0,141752.0,72.51132562500003,269939.0,141752.0,72.51132562500003,269939.0,141752.0,72.51132562500003,269939.0,268088.0,88.99429520833333,510522.0,409464.0,100.0,779745.0,0.0,27.8560001373291,0.0,0.198,0.0,4.599030303030302,0.013000000000000001,0.0,55.473230769230774,0.022,0.0,43.84581818181818,0.051,0.0,37.387921568627455,0.076,0.0,40.59115789473685,0.033,0.0,40.26642424242424,0.07200000000000001,0.0,42.84622222222221,9.382,1.0,0.4082694521424004,493878.99159663863
11,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-9.ts,1572041501.209,1572041501.248,9,0.021,113008,43.05066666666666,0,0,4.170822,36.99,41.16,1,260353.0,88.76341291666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
12,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-8.ts,1572041501.265,1572041501.3330002,8,0.046,247552,43.05252173913043,0,0,4.2010000000000005,32.79,36.99,1,510522.0,88.99429520833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
13,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-9.ts,1572041501.35,1572041501.39,9,0.019,113008,47.582315789473675,0,0,4.170822,36.99,41.16,1,260353.0,88.76341291666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
14,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-10.ts,1572041501.403,1572041501.446,10,0.019,120815,50.86947368421053,0,0,4.0874,41.16,45.25,1,274639.0,88.7488010416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
15,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-11.ts,1572041501.471,1572041501.5279999,11,0.04,189431,37.8862,0,0,4.208277,45.25,49.46,1,403268.0,88.86321489583334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
16,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-12.ts,1572041501.541,1572041501.58,12,0.021,113287,43.156952380952376,0,0,4.087411,49.46,53.55,1,260884.0,88.3556415624999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
17,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-13.ts,1572041501.593,1572041501.6369998,13,0.026000000000000002,136717,42.06676923076923,0,0,4.1219779999999995,53.54,57.66,1,301516.0,88.18611750000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
18,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-14.ts,1572041501.661,1572041501.705,14,0.022,128085,46.57636363636364,0,0,4.2340550000000015,57.66,61.89,1,273515.0,82.77885625000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
19,https://fastly.tubi.video/8ca3c17d-a354-4a72-9b9a-5c2554b22095/36y5sd2u/segment-15.ts,1572041501.7329998,1572041501.768,15,0.016,83173,41.5865,0,0,4.0773779999999995,61.9,65.98,1,201400.0,93.11917145833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265245.512605042
