,bandwidth_mbit,bandwidth_mbit_-1,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level,bitrate_level_encoded
0,49.95428571428571,,349680.0,174840,0.0,0,0,0,0.0,0.0,0.0,0,,0.0,349680.0,349680.0,349680.0,620400.0,722659.0,174840.0,174840.0,174840.0,310200.0,367352.0,15.517789344262304,15.517789344262304,15.517789344262304,29.372622459016398,69.95855533333336,0.0,4.0,0.028,,4.0,0.0,1572035083.726,1572035083.696,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813210.mp4-1.ts,15.517789344262304,316076.64705882355
1,48.34106666666667,,2852915.0,1450232,,0,0,0,,,,4,,,,,,,,,,,,,,,,,,,4.0,0.24,,4.0,0.0,1572035083.982,1572035083.74,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-1.ts,100.0,3501388.8571428573
2,45.944527918781716,48.34106666666667,2222297.0,1131384,3.6560001373291016,0,0,1,349680.0,0.0,15.517789344262304,4,4.0,-4.0,295080.0,295080.0,295080.0,421221.0,520677.0,147768.0,147768.0,147768.0,210936.0,265080.0,18.81469942622952,18.81469942622952,18.81469942622952,42.645488688524594,71.76887783333333,0.0,4.006178,0.197,0.24,8.01,4.0,1572035084.27,1572035084.07,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-2.ts,100.0,3501388.8571428573
3,43.42993814432989,,2065551.0,1053176,,0,0,2,,,,4,,,,,,,,,,,,,,,,,,,4.0123440000000015,0.194,,12.02,8.01,1572035084.528,1572035084.331,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-3.ts,100.0,3501388.8571428573
4,42.52653003533568,,2946018.0,1504376,,0,0,3,,,,4,,,,,,,,,,,,,,,,,,,4.018511,0.28300000000000003,,16.04,12.02,1572035084.949,1572035084.576,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-4.ts,100.0,3501388.8571428573
5,42.05882828282828,,4094098.0,2081912,,0,0,4,,,,4,,,,,,,,,,,,,,,,,,,4.001456,0.396,,20.04,16.04,1572035085.399,1572035085.0,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-5.ts,100.0,3501388.8571428573
6,39.594513189448435,,4052464.0,2063864,,0,0,5,,,,4,,,,,,,,,,,,,,,,,,,4.0076220000000005,0.417,,24.05,20.04,1572035085.951,1572035085.4429998,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-6.ts,100.0,3501388.8571428573
7,36.80419417475728,,3716086.0,1895416,,0,0,6,,,,4,,,,,,,,,,,,,,,,,,,4.013789,0.41200000000000003,,28.06,24.05,1572035086.419,1572035086.005,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-7.ts,100.0,3501388.8571428573
8,32.398036217303826,,3940129.0,2012728,,0,0,7,,,,4,,,,,,,,,,,,,,,,,,,4.019956,0.4970000000000001,,32.08,28.06,1572035087.688,1572035087.188,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-8.ts,100.0,3501388.8571428573
9,24.648027491408936,,3524972.0,1793144,,0,0,8,,,,4,,,,,,,,,,,,,,,,,,,4.002911,0.5820000000000001,,36.08,32.08,1572035091.8969998,1572035091.2870002,https://videos-fms.jwpsrv.com/content/conversions/cGlKNUnj/videos/c04tpAHH-30813216.mp4-9.ts,100.0,3501388.8571428573
