,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9,t_download_s_-10,quality_level_chosen_-10,bandwidth_mbit_-10,quality_shift,buffer_estimate_0,rebuffer_estimate_0,bitrate_level_encoded
12,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-9.m4s,1572068896.387,1572068898.5400002,8,2.027,599433,2.3657937839171197,0,0,8.041374708041381,57.22,65.26,1,737000.0,39.69039194312798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
13,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-10.m4s,1572068904.3839998,1572068905.645,9,1.251,482119,3.0830951239008786,0,0,6.573239906573235,65.27,71.84,1,737000.0,39.0998554245283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
14,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-11.m4s,1572068910.8860002,1572068912.803,10,1.912,742975,3.1086820083682003,0,0,7.841174507841173,71.84,79.68,1,737000.0,60.47995896226418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
15,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-12.m4s,1572068918.8839998,1572068920.637,11,1.747,683058,3.127912993703492,0,0,7.640974307640972,79.68,87.32,1,737000.0,72.81314830188678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
16,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-13.m4s,1572068926.7229998,1572068928.2670002,12,1.499,607207,3.2405977318212136,0,0,6.606606606606604,87.32,93.93,1,737000.0,77.63043649289095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
17,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-14.m4s,1572068933.551,1572068936.25,13,2.658,1058782,3.186702784048156,0,0,8.475141808475144,93.93,102.41,1,737000.0,36.21919268867922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
18,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-15.m4s,1572068941.448,1572068943.847,14,2.355,930355,3.1604416135881097,0,0,8.441775108441774,102.4,110.84,1,737000.0,26.8369533490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
19,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-16.m4s,1572068949.8839998,1572068952.69,15,2.797,1101277,3.149880586342509,0,0,7.707707707707713,110.84,118.55,1,737000.0,52.15564018867923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
20,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-17.m4s,1572068957.6339998,1572068960.825,16,3.18,1258725,3.1666037735849053,0,0,8.475141808475144,118.55,127.03,1,737000.0,30.779484764150954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
21,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-18.m4s,1572068966.135,1572068968.566,17,2.424,979058,3.231214521452145,0,0,7.540874207540868,127.03,134.57,1,737000.0,28.605087594339622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
