,bandwidth_mbit,bandwidth_mbit_-1,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.87000412371134,,278376.0,347988,0.0,0,0,0,0.0,0,0.0,0,,0,278376.0,278376.0,278376.0,540661.0,855884.0,347988,347988,347988,675860,1069908,17.055035919999998,17.055035919999998,17.055035919999998,46.40733903999999,60.239283919999984,0.0,10.000489,0.97,,10.0,0.0,1572432694.069,1572432692.917,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment1_229000_av.ts?null=0,17.055035919999998
1,2.8588869047619045,,1536937.0,1921172,0.0,0,0,1,0.0,0,0.0,3,,-3,256732.0,256732.0,256732.0,509404.0,815017.0,320916,320916,320916,636756,1018772,23.97312836000001,23.97312836000001,23.97312836000001,54.41564884,67.564163,1.6429998874664307,10.0,5.376,,20.0,10.0,1572432700.174,1572432694.56,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment2_1496000_av.ts?null=0,80.32263716
2,-0.008,,1563408.0,-1,9.952000141143799,0,0,2,0.0,0,0.0,3,,-3,261545.0,261545.0,261545.0,514217.0,827049.0,326932,326932,326932,642772,1033812,27.96838847999999,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,5.614000082015991,10.0,0.001,,30.0,20.0,1572432700.2389998,1572432700.222,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_1496000_av.ts?null=0,83.88506435999993
3,-0.008,2.8588869047619045,514217.0,-1,0.0,0,0,2,1536937.0,3,80.32263716,1,3.0,2,827049.0,514217.0,1563408.0,2369552.0,3329705.0,1033812,642772,1954260,2961940,4162132,72.54608999999995,60.41759903999999,83.88506435999993,88.08328404,100.0,5.006999969482422,10.0,0.001,5.376,30.0,20.0,1572432715.428,1572432715.181,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_476000_av.ts?null=0,60.41759903999999
4,-0.008,2.8588869047619045,261545.0,-1,0.0,0,0,2,1563408.0,3,83.88506435999993,0,3.0,3,827049.0,514217.0,1563408.0,2369552.0,3329705.0,1033812,642772,1954260,2961940,4162132,72.54608999999995,60.41759903999999,83.88506435999993,88.08328404,100.0,9.743000030517578,10.0,0.001,5.376,30.0,20.0,1572432725.135,1572432724.924,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_229000_av.ts?null=0,27.96838847999999
5,-0.008,2.8588869047619045,827049.0,-1,0.0,0,0,2,514217.0,1,60.41759903999999,2,3.0,-1,261545.0,261545.0,514217.0,827049.0,1563408.0,326932,326932,642772,1033812,1954260,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,83.88506435999993,11.638000011444092,10.0,0.001,5.376,30.0,20.0,1572432736.723,1572432736.562,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_776000_av.ts?null=0,72.54608999999995
6,-0.008,2.8588869047619045,261545.0,-1,0.0,0,0,2,261545.0,0,27.96838847999999,0,3.0,0,261545.0,261545.0,261545.0,514217.0,827049.0,326932,326932,326932,642772,1033812,27.96838847999999,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,5.039000034332275,10.0,0.001,5.376,30.0,20.0,1572432741.6590002,1572432741.601,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_229000_av.ts?null=0,27.96838847999999
7,-0.008,2.8588869047619045,261545.0,-1,0.0,0,0,2,827049.0,2,72.54608999999995,0,3.0,2,514217.0,261545.0,827049.0,1563408.0,2369552.0,642772,326932,1033812,1954260,2961940,60.41759903999999,27.96838847999999,72.54608999999995,83.88506435999993,88.08328404,15.721999883651733,10.0,0.001,5.376,30.0,20.0,1572432757.493,1572432757.323,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_229000_av.ts?null=0,27.96838847999999
8,-0.008,2.8588869047619045,261545.0,-1,0.0,0,0,2,261545.0,0,27.96838847999999,0,3.0,0,261545.0,261545.0,261545.0,514217.0,827049.0,326932,326932,326932,642772,1033812,27.96838847999999,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,23.638999938964844,10.0,0.001,5.376,30.0,20.0,1572432780.9819999,1572432780.962,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_229000_av.ts?null=0,27.96838847999999
9,-0.008,2.8588869047619045,261545.0,-1,0.0,0,0,2,261545.0,0,27.96838847999999,0,3.0,0,261545.0,261545.0,261545.0,514217.0,827049.0,326932,326932,326932,642772,1033812,27.96838847999999,27.96838847999999,27.96838847999999,60.41759903999999,72.54608999999995,39.753000020980835,10.0,0.001,5.376,30.0,20.0,1572432820.924,1572432820.715,https://zdfvoddach-vh.akamaihd.net/i/meta-files/3sat/smil/m3u8/300/18/12/181221_kudamm59_1_online/4/181221_kudamm59_1_online.smil/segment3_229000_av.ts?null=0,27.96838847999999
