,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9,t_download_s_-10,quality_level_chosen_-10,bandwidth_mbit_-10,bitrate_level_encoded
0,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174598/chop/segment-1.m4s,1572053641.734,1572053642.35,0,0.5710000000000001,164954,2.3110893169877404,0,0,6.006006006006006,0.0,6.01,0,299000.0,55.458790801886785,0.0,0.0,0.0,164954.0,55.458790801886785,299000.0,164954.0,55.458790801886785,299000.0,164954.0,55.458790801886785,299000.0,314746.0,77.04358617924527,737000.0,960940.0,100.0,2450000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000.0
1,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-1.m4s,1572053643.311,1572053644.4550002,0,1.0090000000000001,314746,2.4955084241823577,0,0,6.006006006006006,0.0,6.01,1,737000.0,77.04358617924527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
2,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-2.m4s,1572053645.012,1572053646.0400002,1,0.995,550387,4.425222110552763,0,0,8.508508508508509,6.01,14.52,1,737000.0,74.78620707547176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
3,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-3.m4s,1572053646.304,1572053647.4659998,2,1.13,622522,4.407235398230088,0,0,7.140473807140473,14.51,21.65,1,737000.0,7.682748301886793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
4,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-4.m4s,1572053647.7389998,1572053648.921,3,1.149,632559,4.404240208877284,0,0,6.373039706373043,21.65,28.02,1,737000.0,7.682748301886793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
5,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-5.m4s,1572053648.925,1572053650.286,4,1.328,729009,4.391620481927712,0,0,8.34167500834167,28.03,36.37,1,737000.0,68.9640795283019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
6,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174630/chop/segment-6.m4s,1572053650.937,1572053652.199,5,1.229,675991,4.40026688364524,0,0,6.973640306973642,36.37,43.34,1,737000.0,9.107239292452832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
7,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174645/chop/segment-3.m4s,1572053652.438,1572053656.361,2,3.9210000000000003,2106096,4.297058913542464,0,0,7.140473807140473,14.51,21.65,2,2450000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450000.0
8,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174645/chop/segment-4.m4s,1572053656.3679998,1572053660.687,3,4.317,2307107,4.275389390780633,0,0,6.373039706373043,21.65,28.02,2,2450000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450000.0
9,https://skyfire.vimeocdn.com/1572057537-0xcd2d3f54b0407aa45072bae479dd10a2578aa22c/62092214/sep/video/156174645/chop/segment-5.m4s,1572053660.694,1572053664.615,4,3.919,2104410,4.295810155651951,0,0,8.34167500834167,28.03,36.37,2,2450000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450000.0
