,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,bitrate_level_encoded
15,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment12_1_av.ts,1572220115.948,1572220116.9870002,11,1.025,2960812,23.108776585365852,0,0,10.104333,111.35,121.45,3,2289416.0,100.0,2396245.641025641
16,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment13_1_av.ts,1572220125.948,1572220125.962,12,0.001,3195436,25563.487999999998,0,0,10.120333,121.46,131.58,3,2423708.0,100.0,2396245.641025641
17,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment14_1_av.ts,1572220135.948,1572220136.685,13,0.721,3160092,35.06343411927877,0,0,10.075,131.58,141.66,3,2492534.0,100.0,2396245.641025641
18,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment15_1_av.ts,1572220145.948,1572220146.549,14,0.583,3226268,44.27125900514579,0,0,10.069666999999999,141.65,151.72,3,2496244.0,100.0,2396245.641025641
19,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment16_1_av.ts,1572220155.948,1572220156.435,15,0.47,2822068,48.0352,0,0,10.064333,151.72,161.78,3,2259960.0,100.0,2396245.641025641
20,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment17_1_av.ts,1572220165.949,1572220166.508,16,0.546,2247540,32.930989010989016,0,0,10.080333,161.79,171.87,3,1790864.0,100.0,2396245.641025641
21,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment18_1_av.ts,1572220175.949,1572220176.36,17,0.397,2509988,50.57910327455918,0,0,10.195,171.87,182.06,3,1976664.0,100.0,2396245.641025641
22,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment19_1_av.ts,1572220185.948,1572220186.5939999,18,0.63,3412012,43.32713650793651,0,0,10.189667,182.06,192.25,3,2655185.0,100.0,2396245.641025641
23,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment20_1_av.ts,1572220195.949,1572220197.08,19,1.114,4050460,29.087684021543986,0,0,10.104333,192.25,202.35,3,3145234.0,100.0,2396245.641025641
24,https://arteptweb-vh.akamaihd.net/i/am/ptweb/085000/085800/085801-006-A_2_VOF-STE%5BANG%5D_AMM-PTWEB_XQ.1CY9Gu6Ul4.smil/segment21_1_av.ts,1572220205.948,1572220206.7729998,20,0.8109999999999999,2927724,28.88013810110974,0,0,10.080333,202.36,212.44,3,2278156.0,100.0,2396245.641025641
