,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,2.866702017291066,,,,,497348.0,621716,0.0,0,0,0,0.0,0,0.0,0,,,,,0,497348.0,497348.0,497348.0,781289.0,1469486.0,621716,621716,621716,976660,1836948,60.535664382470124,60.535664382470124,60.535664382470124,74.89050139442232,87.97843717131474,0.0,10.000489,1.735,,,,,10.0,0.0,1572433625.769,1572433624.025,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment1_476000_av.ts,60.535664382470124
1,2.849534057596137,,,,,1652444.0,2065556,0.0,0,0,1,0.0,0,0.0,3,,,,,-3,410742.0,410742.0,410742.0,620099.0,1118224.0,513428,513428,513428,775124,1397780,58.61324023999998,58.61324023999998,58.61324023999998,73.99570759999995,88.24601403999996,1.86899995803833,10.0,5.799,,,,,20.0,10.0,1572433631.7050002,1572433625.894,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment2_2296000_av.ts,92.37487996
2,-0.008,,,,,1368489.0,-1,9.95900011062622,0,0,2,0.0,0,0.0,3,,,,,-3,352988.0,352988.0,352988.0,528656.0,961808.0,441236,441236,441236,660820,1202260,60.17388303999995,60.17388303999995,60.17388303999995,74.38227235999999,87.05295776000004,5.811000108718872,10.0,0.001,,,,,30.0,20.0,1572433631.755,1572433631.746,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_2296000_av.ts,91.26641511999998
3,-0.008,2.849534057596137,,,,961808.0,-1,0.8210000991821289,0,0,2,1652444.0,3,92.37487996,2,3.0,,,,1,961808.0,528656.0,1368489.0,2010998.0,2010998.0,1202260,660820,1710612,2513748,2513748,87.05295776000004,74.38227235999999,91.26641511999998,100.0,100.0,0.0,10.0,0.001,5.799,,,,30.0,20.0,1572433640.894,1572433640.884,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment3_1496000_av.ts,87.05295776000004
4,-0.008,1.391705975980321,2.849534057596137,,,1009904.0,-1,9.968000173568726,0,0,3,1368489.0,3,91.26641511999998,2,2.0,3.0,,,1,1009904.0,526233.0,1568172.0,2282850.0,2282850.0,1262420,657812,1960276,2853652,2853652,84.92586107999993,72.74412804,89.22689355999992,100.0,100.0,6.099999904632568,10.000311,0.001,6.9110000000000005,5.799,,,40.0,30.0,1572433647.8449998,1572433647.837,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment4_1496000_av.ts,84.92586107999993
5,-0.008,1.3914797464866353,1.391705975980321,2.849534057596137,,1200041.0,-1,12.65499997138977,0,0,4,961808.0,2,87.05295776000004,2,2.0,2.0,3.0,,0,636944.0,403523.0,1200041.0,1823299.0,2752169.0,796180,504404,1500052,2279124,3440212,72.29493111999996,58.12230128000001,84.97447192000003,89.49693571999991,100.0,0.0,10.0,0.001,7.258,6.9110000000000005,5.799,,50.0,40.0,1572433655.16,1572433655.15,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment5_1496000_av.ts,84.97447192000003
6,-0.008,2.025728561782579,1.3914797464866353,1.391705975980321,2.849534057596137,1000310.0,-1,16.671000003814697,0,0,5,1009904.0,2,84.92586107999993,2,2.0,2.0,2.0,3.0,0,526249.0,350582.0,1000310.0,1589878.0,2410460.0,657812,438228,1250388,1987348,3013076,75.737222,65.22734944000001,85.73351815999997,89.32452956000004,100.0,0.0,10.0,0.001,5.924,7.258,6.9110000000000005,5.799,60.0,50.0,1572433661.1430001,1572433661.134,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_1496000_av.ts,85.73351815999997
7,-0.008,2.025728561782579,1.3914797464866353,1.391705975980321,2.849534057596137,526249.0,-1,7.667999982833862,0,0,5,1200041.0,2,84.97447192000003,1,2.0,2.0,2.0,3.0,1,526249.0,350582.0,1000310.0,1589878.0,2410460.0,657812,438228,1250388,1987348,3013076,75.737222,65.22734944000001,85.73351815999997,89.32452956000004,100.0,0.0,10.0,0.001,5.924,7.258,6.9110000000000005,5.799,60.0,50.0,1572433670.145,1572433670.137,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_776000_av.ts,75.737222
8,-0.008,2.025728561782579,1.3914797464866353,1.391705975980321,2.849534057596137,350582.0,-1,0.0,0,0,5,1000310.0,2,85.73351815999997,0,2.0,2.0,2.0,3.0,2,526249.0,350582.0,1000310.0,1589878.0,2410460.0,657812,438228,1250388,1987348,3013076,75.737222,65.22734944000001,85.73351815999997,89.32452956000004,100.0,1.9500000476837158,10.0,0.001,5.924,7.258,6.9110000000000005,5.799,60.0,50.0,1572433679.7710001,1572433679.755,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_476000_av.ts,65.22734944000001
9,-0.008,2.025728561782579,1.3914797464866353,1.391705975980321,2.849534057596137,526249.0,-1,0.0,0,0,5,526249.0,1,75.737222,1,2.0,2.0,2.0,3.0,0,350582.0,350582.0,526249.0,1000310.0,1589878.0,438228,438228,657812,1250388,1987348,65.22734944000001,65.22734944000001,75.737222,85.73351815999997,89.32452956000004,11.702999830245972,10.0,0.001,5.924,7.258,6.9110000000000005,5.799,60.0,50.0,1572433691.475,1572433691.458,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190924_sendung_37g/2/190924_sendung_37g.smil/segment6_776000_av.ts,75.737222
